timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,label,session_id,mouse_left_click_freq,mouse_right_click_freq,mouse_scroll_freq,keyboard_counts_freq,mouse_distance_freq
55.0,58.42007450411084,0,0,0,0,42.63127340823971,29.219475655430706,72.5692883895131,45.250994407065974,1,0,3.0,5.0,0.0,34.0,571.2575983666345
56.0,20.15550721518206,0,3,0,4,47.0312734082397,29.319475655430715,70.5692883895131,45.250994407065974,1,0,3.0,8.0,0.0,33.0,534.4297903067849
57.0,136.97037785220044,0,0,0,6,46.431273408239704,29.119475655430712,70.5692883895131,45.250994407065974,1,0,2.0,7.0,0.0,35.0,626.5551727082266
58.0,60.569557822302286,1,1,0,3,45.2312734082397,29.019475655430703,66.5692883895131,45.250994407065974,1,0,3.0,8.0,0.0,35.0,646.2747980565382
59.0,58.55482765475818,0,6,0,2,40.431273408239704,29.119475655430712,71.5692883895131,45.250994407065974,1,0,3.0,13.0,0.0,33.0,685.3574897562968
60.0,113.4918551465124,0,2,0,9,45.63127340823971,29.119475655430712,70.5692883895131,45.250994407065974,1,0,3.0,15.0,0.0,36.0,697.0716861423424
61.0,99.17366483324892,0,0,0,7,39.7312734082397,29.219475655430706,52.569288389513105,45.250994407065974,1,0,3.0,14.0,0.0,40.0,771.8756964520384
62.0,19.251407699364425,1,1,0,1,45.331273408239696,29.119475655430712,72.5692883895131,45.250994407065974,1,0,3.0,15.0,0.0,40.0,772.543640026471
63.0,21.46284073991415,0,0,0,0,45.0312734082397,29.119475655430712,71.5692883895131,45.250994407065974,1,0,3.0,14.0,0.0,35.0,648.529834529448
64.0,25.435037861301723,0,2,0,4,41.931273408239704,29.219475655430706,72.5692883895131,45.250994407065974,1,0,2.0,15.0,0.0,36.0,613.4851513288954
65.0,74.1712573959215,0,0,0,2,38.7312734082397,29.319475655430715,72.5692883895131,45.250994407065974,1,0,2.0,15.0,0.0,38.0,629.2363342207061
66.0,62.80949117892956,0,0,0,5,46.831273408239696,29.219475655430706,70.5692883895131,45.446402321086495,1,0,2.0,12.0,0.0,39.0,671.8903181844537
67.0,447.658855005539,0,0,0,3,44.13127340823971,29.319475655430715,72.5692883895131,45.446402321086495,1,0,2.0,12.0,0.0,36.0,982.5787953377921
68.0,265.2636984323906,0,0,0,3,38.2312734082397,28.819475655430715,65.5692883895131,45.446402321086495,1,0,1.0,11.0,0.0,36.0,1187.2729359478803
69.0,104.93417958755784,0,0,0,5,42.13127340823971,28.91947565543071,67.5692883895131,45.446402321086495,1,0,1.0,5.0,0.0,39.0,1233.6522878806802
70.0,92.86403523765992,0,0,0,5,43.63127340823971,28.91947565543071,66.5692883895131,45.446402321086495,1,0,1.0,3.0,0.0,35.0,1213.0244679718276
71.0,43.39991521215428,0,0,0,4,45.331273408239696,29.019475655430703,72.5692883895131,45.446402321086495,1,0,1.0,3.0,0.0,32.0,1157.2507183507328
72.0,183.9419390953158,0,0,0,5,48.2312734082397,29.119475655430712,46.569288389513105,45.446402321086495,1,0,0.0,2.0,0.0,36.0,1321.9412497466844
73.0,54.70582020565344,0,1,0,1,42.63127340823971,29.219475655430706,72.5692883895131,45.446402321086495,1,0,0.0,3.0,0.0,37.0,1355.1842292124236
74.0,11.048627177541054,1,0,0,0,52.331273408239696,29.41947565543071,72.5692883895131,45.446402321086495,1,0,1.0,1.0,0.0,33.0,1340.7978185286631
75.0,23.534212955541868,0,3,0,3,51.0312734082397,29.619475655430712,71.5692883895131,45.446402321086495,1,0,1.0,4.0,0.0,34.0,1290.1607740882832
76.0,30.468481560891643,0,0,0,5,52.0312734082397,29.719475655430706,71.5692883895131,45.446402321086495,1,0,1.0,4.0,0.0,34.0,1257.8197644702454
77.0,16.845516166095937,1,1,0,11,47.0312734082397,29.91947565543071,72.5692883895131,45.446402321086495,1,0,2.0,5.0,0.0,42.0,827.0064256308024
78.0,19.631691109702025,0,0,0,12,53.831273408239696,29.519475655430703,66.5692883895131,45.446402321086495,1,0,2.0,5.0,0.0,51.0,581.3744183081138
79.0,40.12187625822524,0,2,0,5,54.63127340823971,29.819475655430715,72.5692883895131,45.641810235107,1,0,2.0,7.0,0.0,51.0,516.5621149787812
80.0,24.23912287959535,0,0,0,2,49.331273408239696,29.519475655430703,71.5692883895131,45.641810235107,1,0,2.0,7.0,0.0,48.0,447.9372026207166
81.0,45.99402229441307,1,0,0,2,53.431273408239704,29.819475655430715,69.5692883895131,45.83721814912752,1,0,3.0,7.0,0.0,46.0,450.5313097029754
82.0,69.68638856530694,0,0,0,1,45.431273408239704,29.319475655430715,71.5692883895131,45.83721814912752,1,0,3.0,7.0,0.0,42.0,336.27575917296656
83.0,111.0346015917829,0,1,0,7,49.931273408239704,29.219475655430706,71.5692883895131,45.83721814912752,1,0,3.0,7.0,0.0,48.0,392.604540559096
84.0,191.7895066681657,0,0,0,1,47.931273408239704,29.319475655430715,72.5692883895131,45.85401101673867,1,0,2.0,7.0,0.0,49.0,573.3454200497206
85.0,213.71465169210788,0,0,0,4,44.0312734082397,29.119475655430712,63.569288389513105,46.04941893075919,1,0,2.0,4.0,0.0,50.0,763.5258587862867
86.0,104.25719585097528,0,1,0,4,50.431273408239704,29.319475655430715,72.5692883895131,46.440234758800216,1,0,2.0,5.0,0.0,49.0,837.3145730763703
87.0,14.79669127533634,1,0,0,1,41.331273408239696,29.41947565543071,72.5692883895131,46.63564267282074,1,0,2.0,4.0,0.0,39.0,835.2657481856107
88.0,6.82842712474619,0,1,0,12,40.7312734082397,29.319475655430715,72.5692883895131,46.63564267282074,1,0,2.0,5.0,0.0,39.0,822.4624842006549
89.0,0.0,0,1,0,3,42.331273408239696,29.319475655430715,72.5692883895131,46.63564267282074,1,0,2.0,4.0,0.0,37.0,782.3406079424296
90.0,12.84161925296378,1,1,0,1,38.63127340823971,29.41947565543071,72.5692883895131,46.63564267282074,1,0,3.0,5.0,0.0,36.0,770.9431043157981
91.0,94.66038763892672,0,2,0,4,40.931273408239704,29.41947565543071,71.5692883895131,46.63564267282074,1,0,2.0,7.0,0.0,38.0,819.6094696603117
92.0,169.5855644971238,0,0,0,3,43.431273408239704,29.119475655430712,72.5692883895131,46.63564267282074,1,0,2.0,7.0,0.0,40.0,919.5086455921286
93.0,110.11287250437658,0,0,0,2,36.331273408239696,29.219475655430706,70.5692883895131,46.63564267282074,1,0,2.0,6.0,0.0,35.0,918.5869165047222
94.0,119.55032094340584,0,0,0,2,48.7312734082397,29.219475655430706,66.5692883895131,46.83105058684126,1,0,2.0,6.0,0.0,36.0,846.3477307799625
95.0,13.320327917582857,0,2,0,7,52.431273408239704,29.41947565543071,62.569288389513105,46.83105058684126,1,0,2.0,8.0,0.0,39.0,645.9534070054374
96.0,21.635650570838344,0,0,0,4,49.63127340823971,29.819475655430715,64.5692883895131,47.02645850086178,1,0,2.0,7.0,0.0,39.0,563.3318617253005
97.0,44.363248558414185,1,2,0,4,50.931273408239704,29.91947565543071,60.569288389513105,47.417274328902806,1,0,2.0,9.0,0.0,42.0,592.8984190083784
98.0,11.071067811865476,0,0,0,5,42.831273408239696,29.819475655430715,57.569288389513105,47.61268224292333,1,0,2.0,8.0,0.0,35.0,597.1410596954976
99.0,15.035446347007388,1,0,0,5,45.7312734082397,30.019475655430703,72.5692883895131,47.61268224292333,1,0,3.0,7.0,0.0,37.0,612.176506042505
100.0,62.947077721671846,0,4,0,3,58.5312734082397,29.91947565543071,66.5692883895131,47.808090156943834,1,0,2.0,10.0,0.0,39.0,662.281964511213
101.0,75.22245255355028,0,5,0,5,52.331273408239696,29.91947565543071,64.5692883895131,47.808090156943834,1,0,2.0,13.0,0.0,40.0,642.8440294258367
102.0,69.02062483579722,0,0,0,3,62.5312734082397,30.019475655430703,60.569288389513105,48.003498070964355,1,0,2.0,13.0,0.0,40.0,542.27908976451
103.0,111.07951288659112,0,0,0,2,45.331273408239696,30.019475655430703,72.5692883895131,48.198905984984876,1,0,2.0,13.0,0.0,40.0,543.2457301467246
104.0,52.389402310305655,1,0,0,3,54.0312734082397,30.019475655430703,72.5692883895131,48.785129727046424,1,0,3.0,13.0,0.0,41.0,476.08481151362435
105.0,25.56062329783655,0,0,0,3,43.831273408239696,30.219475655430706,72.5692883895131,48.785129727046424,1,0,3.0,11.0,0.0,37.0,488.32510689387806
106.0,46.89602451184784,0,1,0,3,50.831273408239696,30.319475655430715,72.5692883895131,48.785129727046424,1,0,3.0,12.0,0.0,36.0,513.5854808348876
107.0,114.82168346288852,1,0,0,3,55.5312734082397,30.619475655430712,71.5692883895131,48.785129727046424,1,0,3.0,10.0,0.0,35.0,584.0439157393619
108.0,58.46433998658197,0,0,0,7,52.63127340823971,30.519475655430703,70.5692883895131,48.785129727046424,1,0,3.0,10.0,0.0,37.0,631.4371879140784
109.0,66.3913404974256,0,1,0,12,46.431273408239704,30.319475655430715,72.5692883895131,48.785129727046424,1,0,2.0,11.0,0.0,44.0,682.7930820644965
110.0,59.26443839502808,0,0,0,5,52.331273408239696,30.819475655430715,72.5692883895131,48.785129727046424,1,0,2.0,7.0,0.0,46.0,679.1104427378528
111.0,60.3676001127799,1,0,0,10,58.2312734082397,30.619475655430712,70.5692883895131,48.785129727046424,1,0,3.0,2.0,0.0,51.0,664.2555902970824
112.0,130.185753746867,0,0,0,13,52.931273408239704,30.719475655430706,68.5692883895131,48.980537641066945,1,0,3.0,2.0,0.0,61.0,725.4207192081523
113.0,161.5766454444027,0,0,0,1,59.33127340823971,30.119475655430712,70.5692883895131,48.980537641066945,1,0,3.0,2.0,0.0,60.0,775.9178517659637
114.0,65.21306669223311,0,0,0,0,57.7312734082397,30.119475655430712,63.569288389513105,48.980537641066945,1,0,2.0,2.0,0.0,57.0,788.7415161478913
