timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,label
2025-09-08 19:40:23,0,0,0,0,0,0.0,64.9,38,19.094492321079628,idle
2025-09-08 19:40:24,0,0,0,0,0,6.0,64.5,39,19.094492321079628,idle
2025-09-08 19:40:25,0,0,0,0,0,4.2,64.6,38,19.094492321079628,idle
2025-09-08 19:40:26,0,0,0,0,0,3.6,64.6,39,19.094492321079628,idle
2025-09-08 19:40:27,0,0,0,0,0,5.4,64.8,39,19.094492321079628,idle
2025-09-08 19:40:28,0,0,0,0,0,3.4,64.8,41,19.094492321079628,idle
2025-09-08 19:40:29,0,0,0,0,0,3.2,64.2,40,19.094492321079628,idle
2025-09-08 19:40:30,0,0,0,0,0,5.7,64.3,39,19.094492321079628,idle
2025-09-08 19:40:31,0,0,0,0,0,13.5,64.9,41,19.094492321079628,idle
2025-09-08 19:40:32,0,0,0,0,0,9.0,65.1,40,19.094492321079628,idle
2025-09-08 19:40:33,0,0,0,0,0,10.6,65.0,40,19.084569262945774,idle
2025-09-08 19:40:34,0,0,0,0,0,11.5,64.8,42,19.084569262945774,idle
2025-09-08 19:40:35,0,0,0,0,0,7.9,64.2,38,19.084569262945774,idle
2025-09-08 19:40:36,0,0,0,0,0,3.9,64.3,38,19.084569262945774,idle
2025-09-08 19:40:37,0,0,0,0,0,5.3,64.3,38,19.084569262945774,idle
2025-09-08 19:40:38,0,0,0,0,0,4.5,64.5,39,19.084569262945774,idle
2025-09-08 19:40:39,0,0,0,0,0,7.7,64.4,40,19.084569262945774,idle
2025-09-08 19:40:40,0,0,0,0,0,6.2,63.9,39,19.084569262945774,idle
2025-09-08 19:40:41,0,0,0,0,0,6.1,63.9,39,19.084569262945774,idle
2025-09-08 19:40:42,0,0,0,0,0,7.6,64.0,39,19.084569262945774,idle
2025-09-08 19:40:43,0,0,0,0,0,10.7,64.2,39,19.084569262945774,idle
2025-09-08 19:40:44,0,0,0,0,0,10.7,64.3,39,19.084569262945774,idle
2025-09-08 19:40:45,0,0,0,0,0,4.0,64.3,38,19.084569262945774,idle
2025-09-08 19:40:46,0,0,0,0,0,3.4,64.0,38,19.084569262945774,idle
2025-09-08 19:40:47,0,0,0,0,0,6.4,64.1,39,19.084569262945774,idle
2025-09-08 19:40:48,0,0,0,0,0,8.4,64.1,39,19.084569262945774,idle
2025-09-08 19:40:49,0,0,0,0,0,4.8,63.5,16,19.084569262945774,idle
2025-09-08 19:40:50,0,0,0,0,0,4.1,63.5,16,19.084569262945774,idle
2025-09-08 19:40:51,0,0,0,0,0,3.1,63.6,16,19.084569262945774,idle
2025-09-08 19:40:52,0,0,0,0,0,4.2,63.7,26,19.084569262945774,idle
2025-09-08 19:40:53,0,0,0,0,0,2.3,63.8,29,19.084569262945774,idle
2025-09-08 19:40:54,0,0,0,0,0,2.0,63.8,35,19.084569262945774,idle
2025-09-08 19:40:55,0,0,0,0,0,9.2,63.9,32,19.084569262945774,idle
2025-09-08 19:40:56,0,0,0,0,0,4.3,63.9,35,19.084569262945774,idle
2025-09-08 19:40:57,0,0,0,0,0,7.3,64.1,33,19.084569262945774,idle
2025-09-08 19:40:58,0,0,0,0,0,5.8,63.7,36,19.084569262945774,idle
2025-09-08 19:40:59,0,0,0,0,0,3.4,63.8,35,19.084569262945774,idle
2025-09-08 19:41:00,0,0,0,0,0,5.8,63.9,34,19.084569262945774,idle
2025-09-08 19:41:01,0,0,0,0,0,12.0,64.4,38,19.084569262945774,idle
2025-09-08 19:41:02,0,0,0,0,0,8.3,64.7,38,19.084569262945774,idle
2025-09-08 19:41:03,0,0,0,0,0,10.9,64.6,38,19.084569262945774,idle
2025-09-08 19:41:04,0,0,0,0,0,8.3,64.5,39,19.084569262945774,idle
2025-09-08 19:41:05,0,0,0,0,0,6.7,64.2,39,19.084569262945774,idle
2025-09-08 19:41:06,0,0,0,0,0,4.3,64.3,39,19.084569262945774,idle
2025-09-08 19:41:07,0,0,0,0,0,3.7,64.3,39,19.084569262945774,idle
2025-09-08 19:41:08,0,0,0,0,0,5.5,64.4,39,19.084569262945774,idle
2025-09-08 19:41:09,0,0,0,0,0,12.1,63.7,38,19.084569262945774,idle
2025-09-08 19:41:10,0,0,0,0,0,7.0,63.4,37,19.084569262945774,idle
2025-09-08 19:41:11,0,0,0,0,0,3.5,63.4,36,19.084569262945774,idle
2025-09-08 19:41:12,0,0,0,0,0,3.3,63.5,37,19.084569262945774,idle
2025-09-08 19:41:13,0,0,0,0,0,4.3,63.6,38,19.084569262945774,idle
2025-09-08 19:41:14,0,0,0,0,0,4.7,63.7,41,19.084569262945774,idle
2025-09-08 19:41:15,0,0,0,0,0,3.6,63.8,37,19.084569262945774,idle
2025-09-08 19:41:16,0,0,0,0,0,3.7,63.8,37,19.084569262945774,idle
2025-09-08 19:41:17,0,0,0,0,0,3.7,63.9,37,19.084569262945774,idle
2025-09-08 19:41:18,0,0,0,0,0,4.7,64.0,37,19.084569262945774,idle
2025-09-08 19:41:19,0,0,0,0,0,3.2,64.0,38,19.084569262945774,idle
2025-09-08 19:41:20,0,0,0,0,0,5.1,64.1,38,19.084569262945774,idle
2025-09-08 19:41:21,0,0,0,0,0,3.3,64.1,38,19.084569262945774,idle
2025-09-08 19:41:22,0,0,0,0,0,5.8,63.8,38,19.084569262945774,idle
2025-09-08 19:41:23,0,0,0,0,0,2.9,63.8,38,19.084569262945774,idle
2025-09-08 19:41:24,0,0,0,0,0,4.5,63.9,39,19.084569262945774,idle
2025-09-08 19:41:25,0,0,0,0,0,2.6,64.0,39,19.084569262945774,idle
2025-09-08 19:41:26,0,0,0,0,0,2.3,64.1,39,19.084569262945774,idle
2025-09-08 19:41:27,0,0,0,0,0,3.3,64.1,39,19.084569262945774,idle
2025-09-08 19:41:28,0,0,0,0,0,6.6,64.3,35,19.084569262945774,idle
2025-09-08 19:41:29,0,0,0,0,0,2.7,64.3,32,19.084569262945774,idle
2025-09-08 19:41:30,0,0,0,0,0,3.8,63.7,36,19.084569262945774,idle
2025-09-08 19:41:31,0,0,0,0,0,12.5,64.2,23,19.084569262945774,idle
2025-09-08 19:41:32,0,0,0,0,0,9.6,64.5,39,19.084569262945774,idle
2025-09-08 19:41:33,0,0,0,0,0,7.8,64.4,36,19.084569262945774,idle
2025-09-08 19:41:34,0,0,0,0,0,8.5,63.7,36,19.084569262945774,idle
2025-09-08 19:41:35,0,0,0,0,0,4.8,63.0,39,19.084569262945774,idle
2025-09-08 19:41:36,0,0,0,0,0,3.5,62.6,37,19.084569262945774,idle
2025-09-08 19:41:37,0,0,0,0,0,4.3,62.7,38,19.084569262945774,idle
2025-09-08 19:41:38,0,0,0,0,0,4.4,62.7,36,19.084569262945774,idle
2025-09-08 19:41:39,0,0,0,0,0,3.5,62.8,37,19.084569262945774,idle
2025-09-08 19:41:40,0,0,0,0,0,3.7,62.9,37,19.084569262945774,idle
2025-09-08 19:41:41,0,0,0,0,0,3.4,62.9,38,19.084569262945774,idle
2025-09-08 19:41:42,0,0,0,0,0,3.3,63.0,39,19.084569262945774,idle
2025-09-08 19:41:43,0,0,0,0,0,4.0,63.1,36,19.084569262945774,idle
2025-09-08 19:41:44,0,0,0,0,0,4.4,63.2,42,19.084569262945774,idle
2025-09-08 19:41:45,0,0,0,0,0,3.9,63.2,36,19.084569262945774,idle
2025-09-08 19:41:46,0,0,0,0,0,5.7,62.9,37,19.084569262945774,idle
2025-09-08 19:41:47,0,0,0,0,0,9.6,62.9,38,19.084569262945774,idle
2025-09-08 19:41:48,0,0,0,0,0,7.4,63.0,38,19.084569262945774,idle
2025-09-08 19:41:49,0,0,0,0,0,8.1,63.1,38,19.084569262945774,idle
2025-09-08 19:41:50,0,0,0,0,0,10.6,62.5,38,19.084569262945774,idle
2025-09-08 19:41:51,0,0,0,0,0,4.5,62.6,39,19.084569262945774,idle
2025-09-08 19:41:52,0,0,0,0,0,3.6,62.7,38,19.084569262945774,idle
2025-09-08 19:41:53,0,0,0,0,0,2.9,62.7,39,19.084569262945774,idle
2025-09-08 19:41:54,0,0,0,0,0,3.2,62.7,39,19.084569262945774,idle
2025-09-08 19:41:55,0,0,0,0,0,3.0,62.8,33,19.084569262945774,idle
2025-09-08 19:41:56,0,0,0,0,0,4.2,62.9,39,19.084569262945774,idle
2025-09-08 19:41:57,0,0,0,0,0,3.1,62.9,39,19.084569262945774,idle
2025-09-08 19:41:58,0,0,0,0,0,2.9,62.5,37,19.084569262945774,idle
2025-09-08 19:41:59,0,0,0,0,0,5.7,62.3,39,19.084569262945774,idle
2025-09-08 19:42:00,0,0,0,0,0,5.2,62.5,39,19.084569262945774,idle
2025-09-08 19:42:01,0,0,0,0,0,9.5,62.6,39,19.084569262945774,idle
2025-09-08 19:42:02,0,0,0,0,0,9.6,62.5,35,19.084569262945774,idle
2025-09-08 19:42:03,0,0,0,0,0,9.7,62.9,35,19.084569262945774,idle
2025-09-08 19:42:04,0,0,0,0,0,9.0,62.6,37,19.084569262945774,idle
2025-09-08 19:42:05,0,0,0,0,0,5.3,62.2,33,19.084569262945774,idle
2025-09-08 19:42:06,0,0,0,0,0,2.3,62.3,34,19.084569262945774,idle
2025-09-08 19:42:07,0,0,0,0,0,2.3,62.4,35,19.084569262945774,idle
2025-09-08 19:42:08,0,0,0,0,0,2.5,62.4,38,19.084569262945774,idle
2025-09-08 19:42:09,0,0,0,0,0,6.5,62.4,37,19.084569262945774,idle
2025-09-08 19:42:10,0,0,0,0,0,2.7,62.1,34,19.084569262945774,idle
2025-09-08 19:42:11,0,0,0,0,0,8.6,62.1,37,19.084569262945774,idle
2025-09-08 19:42:12,0,0,0,0,0,8.6,62.2,36,19.084569262945774,idle
2025-09-08 19:42:13,0,0,0,0,0,5.5,62.0,36,19.084569262945774,idle
2025-09-08 19:42:14,0,0,0,0,0,2.8,62.0,38,19.084569262945774,idle
2025-09-08 19:42:15,0,0,0,0,0,3.1,62.1,38,19.084569262945774,idle
2025-09-08 19:42:16,0,0,0,0,0,3.1,62.2,39,19.084569262945774,idle
2025-09-08 19:42:17,0,0,0,0,0,4.7,62.3,38,19.084569262945774,idle
2025-09-08 19:42:18,0,0,0,0,0,3.1,62.4,39,19.084569262945774,idle
2025-09-08 19:42:19,0,0,0,0,0,4.6,62.4,39,19.084569262945774,idle
2025-09-08 19:42:20,0,0,0,0,0,4.6,62.5,37,19.084569262945774,idle
2025-09-08 19:42:21,0,0,0,0,0,2.6,62.5,35,19.084569262945774,idle
2025-09-08 19:42:22,0,0,0,0,0,2.7,62.2,38,19.084569262945774,idle
2025-09-08 19:42:23,0,0,0,0,0,4.1,61.9,38,19.084569262945774,idle
2025-09-08 19:42:24,0,0,0,0,0,3.9,62.0,36,19.084569262945774,idle
2025-09-08 19:42:25,0,0,0,0,0,3.4,62.0,35,19.084569262945774,idle
2025-09-08 19:42:26,0,0,0,0,0,3.3,62.1,39,19.084569262945774,idle
2025-09-08 19:42:27,0,0,0,0,0,4.7,62.1,38,19.084569262945774,idle
2025-09-08 19:42:28,0,0,0,0,0,3.4,62.2,39,19.084569262945774,idle
2025-09-08 19:42:29,0,0,0,0,0,9.6,62.1,37,19.084569262945774,idle
2025-09-08 19:42:30,0,0,0,0,0,6.5,62.4,35,19.084569262945774,idle
2025-09-08 19:42:31,0,0,0,0,0,11.5,62.8,36,19.084569262945774,idle
2025-09-08 19:42:32,0,0,0,0,0,9.1,62.8,37,19.084569262945774,idle
2025-09-08 19:42:33,0,0,0,0,0,8.6,62.6,37,19.084569262945774,idle
2025-09-08 19:42:34,0,0,0,0,0,10.2,61.7,37,19.084569262945774,idle
2025-09-08 19:42:35,0,0,0,0,0,3.9,61.7,38,19.084569262945774,idle
2025-09-08 19:42:36,0,0,0,0,0,1.7,61.8,38,19.084569262945774,idle
2025-09-08 19:42:37,0,0,0,0,0,4.2,61.9,38,19.084569262945774,idle
2025-09-08 19:42:38,0,0,0,0,0,2.2,61.9,38,19.084569262945774,idle
2025-09-08 19:42:39,0,0,0,0,0,4.1,62.0,38,19.084569262945774,idle
2025-09-08 19:42:40,0,0,0,0,0,3.3,62.0,39,19.084569262945774,idle
2025-09-08 19:42:41,0,0,0,0,0,5.8,62.1,39,19.084569262945774,idle
2025-09-08 19:42:42,0,0,0,0,0,3.4,62.2,38,19.084569262945774,idle
2025-09-08 19:42:43,0,0,0,0,0,4.6,62.2,39,19.084569262945774,idle
2025-09-08 19:42:44,0,0,0,0,0,2.6,62.3,39,19.084569262945774,idle
2025-09-08 19:42:45,0,0,0,0,0,4.1,62.0,38,19.084569262945774,idle
